Able		0000000000000,000000000,0000000000
Accomplish		0000000000000,000000000,0000000000
Acer		0000000000000,000000000,0000000000
Act		0000000000000,000000000,0000000000
Ain		0000000000000,000000000,0000000000
Alif		0000000000000,000000000,0000000000
Alter		0000000000000,000000000,0000000000
America		0000000000000,000000000,0000000000
Angry		0000000000000,000000000,0000000000
aRay		0000000000000,000000000,0000000000
Attack		0000000000000,000000000,0000000000
Auditorium 		0000000000000,000000000,0000000000
Awake		0000000000000,000000000,0000000000
Bachelor's Degree		0000000000000,000000000,0000000000
BariYeh		0000000000000,000000000,0000000000
Bay		0000000000000,000000000,0000000000
Before		0000000000000,000000000,0000000000
Big		0000000000000,000000000,0000000000
Birthday		0000000000000,000000000,0000000000
Car		0000000000000,000000000,0000000000
Chay		0000000000000,000000000,0000000000
child		0000000000000,000000000,0000000000
Chotiyeh		0000000000000,000000000,0000000000
Crown		0000000000000,000000000,0000000000
Daal		0000000000000,000000000,0000000000
Dangerous		0000000000000,000000000,0000000000
Day		0000000000000,000000000,0000000000
Ddaal		0000000000000,000000000,0000000000
DemoCracy		0000000000000,000000000,0000000000
Dhaal	 	0000000000000,000000000,0000000000
Dhuaad		0000000000000,000000000,0000000000
Dictatorship		0000000000000,000000000,0000000000
Djay		0000000000000,000000000,0000000000
Doctor		0000000000000,000000000,0000000000
Drink 		0000000000000,000000000,0000000000
Drive		0000000000000,000000000,0000000000
Dubai		0000000000000,000000000,0000000000
East		0000000000000,000000000,0000000000
Education		0000000000000,000000000,0000000000
Eid Mubarak		0000000000000,000000000,0000000000
Eight		0000000000000,000000000,0000000000
Extremely		0000000000000,000000000,0000000000
Fay		0000000000000,000000000,0000000000
FIA		0000000000000,000000000,0000000000
Five		0000000000000,000000000,0000000000
Four		0000000000000,000000000,0000000000
Friends	 	0000000000000,000000000,0000000000
Gaaf		0000000000000,000000000,0000000000
Ghain		0000000000000,000000000,0000000000
Gift		0000000000000,000000000,0000000000
GoodBye		0000000000000,000000000,0000000000
Good		0000000000000,000000000,0000000000
walaikum-as-salaam	 	0000000000000,000000000,0000000000
Hamza		0000000000000,000000000,0000000000
Happy		0000000000000,000000000,0000000000
Hay		0000000000000,000000000,0000000000
Hello		0000000000000,000000000,0000000000
Hay		0000000000000,000000000,0000000000
Jeem		0000000000000,000000000,0000000000
Job		0000000000000,000000000,0000000000
Kaaf		0000000000000,000000000,0000000000
Khay		0000000000000,000000000,0000000000
Laam		0000000000000,000000000,0000000000
Live		0000000000000,000000000,0000000000
Market		0000000000000,000000000,0000000000
Meem		0000000000000,000000000,0000000000
Moon		0000000000000,000000000,0000000000
More		0000000000000,000000000,0000000000
Mother		0000000000000,000000000,0000000000
Noon	 	0000000000000,000000000,0000000000
North		0000000000000,000000000,0000000000
Pakistan Day		0000000000000,000000000,0000000000
Pakistan		0000000000000,000000000,0000000000
pay		0000000000000,000000000,0000000000
President		0000000000000,000000000,0000000000
Kaaf		0000000000000,000000000,0000000000
Ray		0000000000000,000000000,0000000000
Restaurant		0000000000000,000000000,0000000000
See		0000000000000,000000000,0000000000
Seen		0000000000000,000000000,0000000000
Seven		0000000000000,000000000,0000000000
Sheen		0000000000000,000000000,0000000000
South		0000000000000,000000000,0000000000
Start		0000000000000,000000000,0000000000
Street		0000000000000,000000000,0000000000
Suaad		0000000000000,000000000,0000000000
Talk		0000000000000,000000000,0000000000
Tay		0000000000000,000000000,0000000000
Tea		0000000000000,000000000,0000000000
Television		0000000000000,000000000,0000000000
That		0000000000000,000000000,0000000000
Thay		0000000000000,000000000,0000000000
This		0000000000000,000000000,0000000000
Three		0000000000000,000000000,0000000000
Toay'n		0000000000000,000000000,0000000000
TRUE		0000000000000,000000000,0000000000
ttay		0000000000000,000000000,0000000000
Two		0000000000000,000000000,0000000000
Vao	   	0000000000000,000000000,0000000000
Wall		0000000000000,000000000,0000000000
war		0000000000000,000000000,0000000000
West		0000000000000,000000000,0000000000
Where		0000000000000,000000000,0000000000
Who		0000000000000,000000000,0000000000
Wind		0000000000000,000000000,0000000000
With		0000000000000,000000000,0000000000
Work		0000000000000,000000000,0000000000
Year		0000000000000,000000000,0000000000
Yes		0000000000000,000000000,0000000000
Zay		0000000000000,000000000,0000000000
Zero		0000000000000,000000000,0000000000
Zoay'n		0000000000000,000000000,0000000000
