A		0000000000000,000000000,0000000000
B		0000000000000,000000000,0000000000
C		0000000000000,000000000,0000000000
D		0000000000000,000000000,0000000000
E		0000000000000,000000000,0000000000
F		0000000000000,000000000,0000000000
G		0000000000000,000000000,0000000000
H		0000000000000,000000000,0000000000
I		0000000000000,000000000,0000000000
J		0000000000000,000000000,0000000000
K		0000000000000,000000000,0000000000
L		0000000000000,000000000,0000000000
M		0000000000000,000000000,0000000000
N		0000000000000,000000000,0000000000
O		0000000000000,000000000,0000000000
P		0000000000000,000000000,0000000000
Q		0000000000000,000000000,0000000000
R		0000000000000,000000000,0000000000
S		0000000000000,000000000,0000000000
T		0000000000000,000000000,0000000000
U		0000000000000,000000000,0000000000
V		0000000000000,000000000,0000000000
W		0000000000000,000000000,0000000000
X		0000000000000,000000000,0000000000
Y		0000000000000,000000000,0000000000
Z		0000000000000,000000000,0000000000
